animal_crop,category,created_at,id,language,location,question_text,sub_topic,topic,question_id
Cattle,Animal,2023-11-15 07:16:30,3746,English,Ngora,Is it ideal for a farmer to carry out grooming of cattle?,,Veterinary care,e9250723-1adf-4b7a-89e4-b264658e6a7b
Cattle,Animal,2023-11-15 07:16:30,3755,English,Kabale,What are the two types of cattle in East Africa?,,Breeds,ddddc332-7b56-4276-88c5-0404ddd75ec3
Cattle,Animal,2023-11-15 07:16:30,3761,English,Kabale,What is the gestation period of acow?,,Products,b5fa273e-f01e-4e6a-8b4f-16bdfaf2d2d9
Fish,Animal,2023-11-15 07:16:30,3749,English,Ngora,Is it recommended for a farmer to stock both tilapia and Catfish in the same pond?,,Species,9ead7d5e-7cba-4a1e-b15c-802eb1b85844
Fish,Animal,2023-11-15 07:16:30,3748,English,Ngora,How often should a farmer feed on his fish in the ponds?,,Feeds/ Food,69ba2181-eacf-408d-9a57-b2984e2f1c24
Cattle,Animal,2023-11-15 07:16:30,3785,English,Ngora,What are the advantages of using a milking machine?,,Harvesting,38f77da7-3178-43ad-b299-8d4d1f072769
avocado,Crop,2023-11-15 07:16:30,3769,English,Kamuli,What causes yellow patches/spots on Avocado leaves ,,Diseases,9d8ef9b5-eb8d-4750-a897-66b1164ec46e
avocado,Crop,2023-11-15 07:16:30,3771,English,Kamuli,What causes folded leaves in avocado?,,Diseases,bf51757c-7977-4fcf-8428-071c333d0b95
tomatoes,Crop,2023-11-15 07:16:30,3774,English,Kamuli,How long does the avocado take to mature and be harvested,,Harvesting,b36fb9a8-12d4-412d-9805-71a87f3f21c2
avocado,Crop,2023-11-15 07:16:30,3773,English,Kamuli,How can I control pests in an avocado garden?,,Pests,e6d44e3d-5814-4326-a807-472a52afa5d1
Cattle,Animal,2023-11-15 07:16:30,3799,English,Kayunga,How many times do you deworm cattle,,Deworming,2a4d8f79-8e1e-4852-80c1-203637bc8f8d
Cattle,Animal,2023-11-15 07:16:30,3800,English,kayunga,when do we carry out deworming in cattle,,Deworming,87615627-3232-4ae8-b161-b58452c8e5b6
